Freguesia;Designação
111;N. S. ROSARIO
112;N. S. LIVRAMENTO
113;SANTO CRUCIFIXO
114;SÃO PEDRO APOSTOLO
121;SANTO ANTONIO DAS POMBAS
131;SÃO JOÃO BAPTISTA
132;SANTO ANDRE
211;N. S. DA LUZ
311;N. S. DA LAPA
312;N. S. DO ROSARIO
321;SÃO FRANCISCO DE ASSIS
411;N. S. DAS DORES
511;SÃO JOÃO BAPTISTA
512;SANTA ISABEL
611;N. S. DA LUZ
711;SANTO AMARO ABADE
721;SANTA CATARINA
731;SANTIAGO MAIOR
741;N. S. DA GRACA
751;N. S. DA LUZ
752;SÃO NICOLAU TOLENTINO
761;SÃO MIGUEL DO ARCANJO
771;SÃO SALVADOR DO MUNDO
781;SÃO LOURENÇO DOS ÓRGÃOS
791;SANTISSIMO NOME DE JESUS
792;SÃO JOÃO BAPTISTA
811;N. S. DA AJUDA
821;SÃO LOURENÇO
822;N. S. DA CONCEIÇÃO
831;SANTA CATARINA DO FOGO
911;SÃO JOÃO BAPTISTA
912;N. S. DO MONTE
