Zona;Designação
11101;FAJA DOMINGAS BENTA
11102;LOMBO BRANCO
11103;LUGAR DE GUENE
11104;MONTE JOANA
11105;PINHAO
11106;SINAGOGA
11107;VILA RIBEIRA GRANDE (US)
11108;VILA RIBEIRA GRANDE (RU)
11109;XOXO
11201;FONTAINHAS
11202;VILA DE PONTA DO SOL
11301;BOCA DE AMBAS RIBEIRAS
11302;BOCA DE CORUJA
11303;BOCA DE JOAO AFONSO
11304;CAIBROS
11305;CHA DE PEDRAS
11306;COCULI
11307;CORDA II
11308;FIGUEIRAL
11309;JOAO AFONSO
11310;LAGOA III
11311;LOMBO SANTA
11312;RIBEIRAO
11401;CHA DE IGREJA
11402;FIGUEIRAS
11403;GARCA DE CIMA
11404;LAGOA I
11405;RIBEIRA ALTA
12101;CABO DA RIBEIRA
12102;CAMPO DE CAO
12103;EITO
12104;PICO DA CRUZ
12105;RIBEIRA DAS POMBAS
12106;RIBEIRAOZINHO
12107;SANTA ISABEL
12108;VILA DAS POMBAS (RS)
12109;VILA DAS POMBAS (US)
12110;FIGUEIRAL
12111;JANELA
13101;AGUA DOS VELHOS
13102;CATANO
13103;CHA DE MORTE
13104;CIRIO
13105;CURRAL DAS VACAS
13106;LAGOA II
13107;LAGOA
13108;LAJEDO
13109;LOMBO DAS LANCAS
13110;LOMBO DE FIGUEIRA
13111;MANUEL LOPES
13112;MATO ESTREITO
13113;MORRO VENTO
13114;PEDRA DE JORGE
13115;JOAO BENTO / RIBEIRA DOS BODES
13116;RIBEIRA FRIA
13117;RIBEIRA TORTA
13118;RIBEIRAO FUNDO
13120;TABUGA
13121;TARRAFAL DE M. TRIGO
13122;VILA DO PORTO NOVO (US)
13123;CASA DO MEIO
13124;ÁGUA DAS CALDEIRAS
13201;ALTO MIRA
13202;CHA DE BRANQUINHO
13203;CHA DE NORTE
13204;JORGE LUIS
13205;MARTIENE
13206;MONTE TRIGO
13207;NORTE
13208;RIBEIRA DA CRUZ
21101;CIDADE DO MINDELO
21102;LAMEIRAO
21103;RIBEIRA JULIÃO
21104;RIBEIRA DA VINHA
21105;RIBEIRA DE CALHAU
21106;SALAMANSA
21107;SÃO PEDRO
31101;COVOADA
31102;ESTANCIA DE BRAZ
31103;FAJA DE BAIXO
31104;QUEIMADAS
31105;RIBEIRA FUNDA
31201;AGUA DAS PATAS
31202;BELEM
31203;BOQUEIRAO
31205;CACHACO
31206;CALEIJAO
31207;CAMPINHO
31208;CARRICAL
31209;CARVOEIROS
31210;COELHA
31211;FAJA
31212;FIGUEIRA DE COCHO
31217;JUNCALINHO
31218;LOMPELADO
31219;MORRO
31220;MORRO ALTO
31221;MORRO BRAZ
31224;PREGUICA
31227;TALHO
31228;VILA DA RIBEIRA BRAVA (US)
32101;CABECALINHO
32102;FONTAINHAS
32103;FRAGATA
32104;HORTELA
32105;PALHAL
32106;PRAIA BRANCA
32107;RIBEIRA DOS CALHAUS
32108;RIBEIRA PRATA
32109;VILA DO TARRAFAL (URBANO)
41101;PALMEIRA
41102;PEDRA DO LUME
41103;VILA DE SANTA MARIA (RU)
41104;VILA DE SANTA MARIA (US)
41105;VILA DOS ESPARGOS (RURAL)
41106;VILA DOS ESPARGOS (US)
51101;CABEÇA DOS TARRAFES
51102;FUNDO DAS FIGUEIRAS
51103;JOÃO GALEGO
51201;BOFARREIRA
51202;ESTÂNCIA DE BAIXO
51203;POVOAÇÃO VELHA
51204;RABIL
51205;VILA DE SAL REI (US)
61101;BARREIRO
61102;CALHETA
61103;CASCABULHO
61104;FIGUEIRA
61105;MORRINHO
61106;MORRO
61107;PEDRO VAZ
61108;PILÃO CÃO / ALCATRAZ
61109;PRAIA GONÇALO
61110;RIBEIRA DOM JOAO
61111;VILA DO PORTO INGLES (US)
61112;PILÃO CÃO
61113;SANTO ANTÓNIO
71101;ACHADA BISCANHOS
71102;ACHADA LAGOA
71103;ACHADA LONGUEIRA
71104;ACHADA MEIO
71105;ACHADA MOIRAO
71106;ACHADA TENDA
71107;BISCAINHOS
71108;CHAO BOM
71109;CURRAL VELHO
71110;FAZENDA
71111;FIGUEIRA MUITA
71112;LAGOA
71113;MATO BRAZIL
71114;MATO MENDES
71115;MILHO BRANCO
71116;PONTA LOBRAO
71117;RIBEIRA DA PRATA
71118;RIBEIRAO SAL
71119;TRAS OS MONTES
71120;VILA DO TARRAFAL (US)
72101;ACHADA GALEGO
72102;ACHADA GOMES
72103;ACHADA LAZAO
72104;ACHADA LEITE
72105;ACHADA LEM
72106;ACHADA PONTA
72107;ACHADA TOSSA
72108;AGUAS PODRES
72109;ARRIBADA
72110;BANANA SEMEDO
72111;BOA ENTRADA
72112;BOA ENTRADINHA
72113;BOMBARDEIRO (ENGENHOS)
72114;CHA DE LAGOA
72115;CHA DE TANQUE
72116;CHARCO
72117;CRUZ GRANDE
72118;ENTRE PICOS
72119;ENTRE PICOS DE REDA
72120;FIGUEIRA DAS NAUS
72121;FONTEANA
72122;FONTE LIMA
72123;FURNA
72124;GAMCHEMBA
72125;GIL BISPO
72126;JAPLUMA
72127;JOAO BERNARDO
72128;JOAO DIAS
72129;JUNCO
72130;LIBRAO
72131;LUGAR VELHO
72132;MANCHOLY
72133;MATO BAIXO
72134;MATO GEGE
72135;MATO SANCHO
72136;PALHA CARGA
72137;PATA BRAVA
72138;PAU VERDE
72139;PEDRA BARRO
72141;PINGO CHUVA
72142;PINHA DOS ENGENHOS
72143;RIBEIRA ACIMA
72144;RIBEIRA DA BARCA
72145;RIBEIRAO ISABEL
72146;RIBEIRAO MANUEL
72147;RINCAO
72148;SALTOS ACIMA
72149;SEDEGUMA
72150;SERRA MALAGUETA
72151;TOMBA TOURO
72152;VILA DE ASSOMADA
72153;FUNDURA
73101;ACHADA BELBEL
73102;ACHADA FAZENDA
73103;ACHADA PONTA
73104;BOAVENTURA
73105;BOCA LARGA
73106;CANCELO
73107;CHA DE SILVA
73108;JULANGUE
73109;LIBRAO
73110;MATINHO
73111;MONTE NEGRO
73112;PORTO MADEIRA
73113;REBELO
73114;RENQUE PURGA
73115;RIBEIRA SECA
73116;RIBEIRAO ALMACO
73117;RIBEIRAO BOI
73118;ROCHA LAMA
73119;SALTOS ABAIXO
73120;SANTA CRUZ
73121;SÃO CRISTOVAO
73122;SERELHO
73123;VILA DE PEDRA BADEJO
73124;ACHADA LAJE
74103;CIDADE DA PRAIA
74104;COSTA ACHADA
74105;PALMAREJO GRANDE
74106;PEDREGAL
74107;SAO FRANCISCO
74108;SAO MARTINHO GRANDE - NSGRAÇA
74109;SAO MARTINHO PEQUENO
74110;SAO TOME
74111;LEM DIAS
74112;PONTA DO SOL
75101;ACHADA BALEIA
75102;BAIA
75103;CANCELO
75104;CHAO DE COQUEIRO
75105;DOBE
75106;MILHO BRANCO
75107;PORTAL
75108;PRAIA BAIXO
75109;PRAIA FORMOSA
75110;VALE DA CUSTA
75201;ACHADA MITRA
75202;AGUA DE GATO
75203;BANANA
75204;CHAMINE
75205;DACABALAIO
75206;FONTE ALMEIDA
75207;GUDIM
75208;LAGOA
75209;MATO AFONSO
75210;MENDES FALEIRO CABRAL
75211;MENDES FALEIRO RENDEIRO
75212;NORA
75213;PO DE SACO
75214;RIBEIRAO CHIQUEIRO
75215;ROBAO DE CAL
75216;RUI VAZ
75217;VARZEA DA IGREJA
75218;VENEZA
76102;ACHADA MONTE
76103;CALHETA DE S.MIGUEL (SU)
76104;CASA BRANCA
76105;CHA DE PONTA
76106;CUTELO GOMES
76107;ESPINHO BRANCO
76108;GONGON
76109;MACHADO
76110;MATO CORREIA
76111;MONTE BODE
76112;MONTE POUSADA
76113;PALHA CARGA
76114;PEDRA BARRO
76115;PEDRA SERRADO
76116;PILAO CAO
76117;PONTA VERDE
76118;PRINCIPAL
76119;RIBEIRAO MILHO
76120;RIBEIRETA
76121;TAGARRA
76122;VARANDA
76123;XAXA
76124;IGREJA
77101;ABOBOREIRO
77102;VILA DE ACHADA IGREJA (URBANO)
77103;ACHADA LEITAO
77104;BABOSA
77105;BURBUR
77106;COVAO GRANDE
77107;DEGREDO
77108;FAVETA
77109;JALALO RAMOS
77111;LEITAO GRANDE
77112;LEITAOZINHO
77113;MANHANGA
77114;MATO FORTES
77115;MATO LIMAO
77116;PICOS ACIMA
77117;PICO FREIRE
77118;PURGUEIRA
77119;REBELO
78101;ACHADA COSTA
78102;BOCA LARGA
78103;FUNDURA
78104;JOAO GOTO
78105;VILA DE JOAO TEVES (URBANO)
78106;LAGE
78107;LEVADA
78108;LONGUEIRA
78109;MONTANHA
78110;ORGAOS PEQUENO
78111;PICO ANTONIA
78112;PEDRA MOLAR
78113;POILAO CABRAL
78114;SAO JORGE
78115;MONTANHINHA
79101;CALABACEIRA
79102;CIDADE DE SANTIAGO DE CABO VERDE (URBANO)
79103;JOAO VARELA
79105;SALINEIRO
79107;COSTA ACHADA
79108;SAO MARTINHO GRANDE - SNJesus
79202;BELEM
79203;CHA DE IGREJA
79204;CHA GONCALVES
79205;DELGADO
79206;GOUVEIA
79207;LOURA
79208;MOSQUITO D'HORTA
79210;PICO LEAO
79211;PORTO MOSQUITO
79212;SANTANA
79213;TRONCO
79214;CHUVA CHOVE
81101;ACHADA GRANDE
81102;ATALAIA
81103;CORVO
81104;FAJÃNZINHA
81105;FEIJOAL
81106;VILA DOS MOSTEIROS
81107;MOSTEIROS TRAS
81108;PAI ANTONIO
81109;QUEIMADA GUINCHO
81110;RELVA
81111;RIBEIRA DO ILHEU
81112;SUMBANGO
81113;ROCHA FORA
81114;MURRO
81115;CUTELO ALTO
82101;ACHADA MENTIROSA
82102;CAMPANAS BAIXO
82103;CAMPANAS CIMA
82104;CURRAL GRANDE
82105;GALINHEIRO
82106;INHUCO
82107;LOMBA
82108;MONTE TABOR
82109;PONTA VERDE
82110;RIBEIRA FILIPE
82111;SAO JORGE
82112;SANTO ANTÓNIO
82113;SÃO DOMINGOS
82201;BRANDAO
82202;CABECA DO MONTE
82203;CIDADE DE SAO FILIPE
82204;LAGARICA
82205;LUZIA NUNES
82206;MONTE LARGO
82207;MONTE GRANDE
82208;PATIM
82209;SALTO
82210;TONGOM
82211;VICENTE DIAS
83101;ACHADA FURNA
83102;CHA DAS CALDEIRAS
83103;VILA DE COVA FIGUEIRA (URBANO)
83104;ESTANCIA ROQUE
83105;FIGUEIRA PAVAO
83106;FONTE ALEIXO
83107;ROCADAS
83108;TINTEIRA
91101;COVA RODELA
91102;FURNA
91103;JOAO DA NOLY
91104;LEM RURAL
91105;MATO GRANDE
91106;SANTA BARBARA
91107;VILA NOVA SINTRA (US)
91108;VILA NOVA SINTRA (RU)
91109;VINAGRE
91110;CACHAÇO
91201;CACHACO
91202;CAMPO BAIXO
91203;COVA DE JOANA
91204;COVA RODELA
91205;FAJA D'AGUA
91206;LOMBA TAMTUM
91207;MATO
91208;NOSSA SENHORA DO MONTE
91209;TOME BARRAZ
